Term,Definition,"Notes, Examples"
impractical,"kivihetetlen, teljesíthetetlen",
improve,"javul, javít, tökéletesít",
impudent,szemtelen,
in a certain respect,bizonyos szempontból,
in a second,"mindjárt, egy másodpercen belül",
in addition,"továbbá, és még",
in charge of sg,felelős valamiért,
in essence,lénygében,
in fact,valójában,
in favor of,"valakinek a javára, érdekében",
in general,általánosságban,
in principle,"elvileg, elvben",
in saying,"mondván, ezt mondva",
in the same way,ugyanazon (-ezen) a módon,
in the long run,hosszútávon,
in-depth,mélyreható,
inability,képtelenség,
inaccurately,pontatlanul,
inaction,tétlenség,
inadequacy,alkalmatlanság,
inanimate,"élettelen, holt",
incandescent,"izzó, ragyogó",
incarnate,"megtestesült, megtestesít",
incendiary,gyújtó-,"Defenceless villages are bombarded from the air, the inhabitants driven out into the countryside, the cattle machine-gunned, the huts set on fire with incendiary bullets: this is called pacification."
incentive,"ösztönző, ösztönzés",
inception,"kezdet, kezdés",
incessant,"szakadatlan, folytonos",
incessantly,szüntelenül,
inchoate,"kezdeti, elkezd",
incite,szít,Think what you want of Soros (or anyone) but a government inciting hatred against an individual is just plain wrong on every possible level.
inclination,hajlam,
include,beleértve,
inclusion,"belefoglalás, beleértés, befogadás",
inconsequential,lényegtelen,
inconvenient,"kényelmetlen, alkalmatlan, terhes",
incorrigible,"javíthatatlan, megrögzött",
increase,"növekedés, növel",
indeed,"valóban, tényleg, csakugyan",
indefinite pronoun,határozatlan névmás,
indefinitive article,határozatlan névelő,
independently,függetlenül,
indicate,"jelez, mutat",
indirect object,közvetett tárgy,
individual,"egyéni, egyedi, sajátos, egyén, személyiség",
indolent,"lusta, tétlen",
indulgent,"elnéző, engedékeny",
inept,"alkalmatlan, ostoba",
inequality,"egyenlőtlenség, változékonyság",
inevitable,elkerülhetetlen,
infallible,csalhatatlan,
infantry,gyalogság,
inferior,"alsóbbrendű, alantas, alárendelt, gyatra",
infinitely,korlátlanul,
infinitesimal,"elenyésző, parányi",
infinitive,főnévi igenáv,
inflammable,gyúlékony,
inflated,"felfújt, dagályos, inflációs",
inflected,"ragozott, hajlított",social forces influencing criminal behavior
inflict,okoz,
influence,"hatás, befolyás, ráhat, rábír, befolyásol",
infuriating,"dühítő, őrjítő",
ingenuity,találékonyság,
inhabit,"él, lakik valamiben",
inhabitant,"lakos, lakó",
inhabitants,polgárság,
inherent,"velejáró, benne rejlő, lényegi",
inherently,eredendően,
inhibition,gátlás,
inimical,"ellenséges, mostoha",
initiate,"beavatott, kezdeményez, elindít",
injury,"sérülés, kár, sebesülés",
inlay,"berak(ás), intarzia",
innocuous,ártalmatlan,
innovative,"innovatív, újszerű, kreatív, újító",
inoffensive,"ártalmatlan, nem bántó",
inquire,érdeklődik,
inquiry,"vizsgálat, érdeklődés, kérdezősködés, tudakozódás",She refused to answer inquiries from the media about her marriage.
insane,"őrült, elmebeteg",
insight,bepillantás,
insincere,"őszintétlen, hamis, kétszínű",
insipid,"unalmas, ízetlen",
insist,ragaszkodik,"Campaign staffers took the image down, but two days later Trump angrily defended it, insisting that there was no anti-Semitic implication."
installation,"telepítés, felszerelés, bevezetés, berendezés, installáció",
instantaneous,pillanatnyi,Instantaneous speed
instigate,"felbuzdít, ösztökél",
instill,"belecsepegtet, belenevel",
insurgent,"lázadó, felkelő",
insurmountable,leküzdhetetlen,
intake,"felvétel, bevitel, táplálék felvétele",
integrity,"tisztesség, erős morális tartás, teljesség, integritás",
intelligence,"intelligencia, hírszerzés",
intensely,intenzíven,
intensifier,erősítő szerkezet,
intensify,"erősödik, erősít, fokoz",
intently,elszántan,
interchangeable,felcserélhető,
interest,"kamat, érdek(lődés)",
interfere,"beavatkozik, zavarja, akadályoz, hozzányúl",
interim,"ideiglenes, közbeeső idő, hátralévő idő",
interloper,betolakodó,
intermittent,"időszakos, váltakozó",
interrogate,"kikérdez, kihallgat",
interrogation,kihallgatás,
interrogative,kérdő(szó),
interrogative determiner,kérdőszó,
interrogative sentence,kérdő mondat,
interweave,"átsző, összefonódik",
interwoven,átszőtt,
intimidating,megfélemlítő,
intransitive verb,nem tárgyas ige,
intrinsic,"belső, valódi, lényegi, lényeges",
invariably,"változatlanul, állandóan",
invitation,"felszólítás, meghívás",
invoke,"segítségül hív, megidéz, esdekel, hivatkozik",
involuntary,akaratlan,
inwardly,"belül, belülről fakadó",inwardly motivated
ire,düh,
irrefutably,cáfolhatatlanul,
irregular,"rendhagyó, szabálytalan",
irresponsibly,felelőtlenül,
irrigation,"öntözés, csatornázás, irrigálás",
issue,"kiad, kiutal, végeredmény, kimenet, probléma, kiadvány",
it's a piece of cake,habkönnyű,
itch(ing),viszket(ő),
jar,"befőttes üveg, bödön",
jarring,nyikorgó,
jarring incompetent,kétségbeejtően inkompetens,
jaw,állkapocs,
jealous,"féltékeny, irigy",
jerk,"rántás, lódítás, faszkalap,",
jerk (off),gecizik,
jinx,vészmadár(kodik),
jolly,"vidám, Éljen!, nagyon, ünneplés, bátorít",
journey,"út, utazás, utazik, utazgat",
jug,kancsó,
juicy,szaftos,
jumper (clothes),"kötényruha, tunika",
junction,"csomópont, kereszteződés",
justify,"indokol, igazol, megokol",
keen,"lelkes, éberen figyelő, éles","a keen gardener', 'I have a keen exesight'"
keep up!,Tartsd a lépést!,
kerb,járdaszegély,
kick off,"lerúg, kezdőrúgás, mérkőzés kezdete",
kinda,"pongyola kind of, azt jelenti, hogy olyasmi, kicsi, akkor mondják, amikor el akarják venni az élét egy állításnak",
kink,"csomó, hurok, görcs, göcsört, éles törés valamiben, ami egyenes","Even though iOS 11 is a mess right now, it seems like a much better choice to wait for them to work out the kinks then to abandon ship."
klutz(iness),"ügyetlenség, hülyeség, bénaság",People usually break them (iPhones) themselves due to klutziness. And then blame Apple.
kneel,térdel,
knob,fogantyú,
knock on wood,"lekopogni, maszturbál (férfi)",
knockoff,"silány másolat, utánzat",
knowingly,"tudatosan, bennfentesen, tájékozottan",
knuckle,"ujjperc, kézbütyök, benyomni vele vmit",
kool-aid,"italpor, szörp",
kudos,dicsőség,
labo(u)r,"munkaerő, munka, vajúdás, szülés, dolgozik, kidolgoz",
lackluster,"fakó, halvány, színtelen",
"lacklustre, lack-lustre","fakó, fénytelen, homályos, megtört",
lad,"legény, fiú",
lame,"béna, sánta, megbénít, lesántít",
landline,vonalas telefon,
languish,hervad,
largess,"ajándék, adomány",
latter,utóbbi,
lauf,futás,
launch,"indít, dob, vízre bocsát, kezdeményez, programindítás (is)",
lavish,"bőséges, tékozló, extravagáns",
lawn,"gyep, pázsit, fű, nyírott gyep",
lawn mover,fűnyíró,
lazy,"lusta, tunya",
le alone,"nem beszélve róla, arról nem is beszélve",The sense of economic security or at least that of control over one’s own economic standing makes one preoccupied with improving his own circumstances – not leaving much space for the desire to control others – let alone trying to cause damage to them.
lean,"sovány, vézna, szikár, támaszt, lejtő",
leap,"ugrás, ugrik",
leave out,kihagy,
led by whim,hirtelen ötlettől vezérelve,
ledge,"párkány, szegély",
leeks,póréhagyma,
legacy,"hagyaték, örökség, elavult",
legal,"jogi, jogos, törvényes",
legible,"olvasható, kibetűzhető",
legislation,törvényhozás,
legit,"legális, szabályokkal harmonizáló, szabályos",
leisure,"szabadidő, kényelem, szabad",
leperchaun,manó,
leverage,"hatalom, tőkeáttétel, befolyás, merev test, ami erőt ad át",
like a charm,"mint egy varázslat, varázsütésre",
likely,"valószínűleg, valószínű, hihető",
likewise,"hasonlóképpen, ugyancsak, ugyanúgy",
limbo,"pokol tornáca, börtön",
limp,sántítás,
limp dick,puhapöcs,
link verb,kapcsolóige,
literally,"betű szerint, szó szerint, szóról szóra, betűről betűre",
litigation,"pereskedés, peres ügy",
little if any,"kevés olyan, kevés vagy egyáltalán semmi",
livelihood,megélhetés,
loan,"hitel, kölcsön, hitelez, kölcsönad",
loath,"gyűlölet, utálat",
loathe,"ki nem állhat, gyűlöl",
loathsome,"utálatos, undorító",
locus,"hely, helyzet, elhelyezkedés",
long hand,"távolba nyúló hatás, utána nyúl, kiterjesztett kar",
longevity,magas kor,
longhand,"kézírás, folyóírás",
longheld,meggyökeresedett,
loose connection,laza kapcsolat,
lousy,vacak,
lowering,csökkent,lowering my expectations
loyalty,"hűség, lojalitás",
ludic,tréfás,
ludicrous,"nevetséges, játékos",
lug,"húz, vonszol, rángatás, vonszolás",
lukewarm,"langyos, közömbös",
lumber,"épületfa, fűrészáru, kacat",
lure,"csalétek, csalogat",
lurk,"leselkedik, lesben áll, bujkál",
luster,ragyogás,
lychee,licsi,
macerate,áztat,
maggot,kukac,
magnanimous,nagylelkű,
magnitude,nagyság,
main verb,főige,
mainland,"szárazföld, kontinens",
maintenance,"karbantartás, fenntartás",
doesn’t make any sense,értelmetlen,
make sense,"van értelme, érthető, indokolható",
make use of,"kihasználni, jól használni valamit",
make-believe,ál,
making up,kitalál,"Gaining information control over our environment is crucial in eliminating the sense of helplessness that would otherwise overcome our thinking. For some, this is easiest by making up the rules."
mandate,"megbízás, utasít, rendel, meghatalmaz",
mandatory,"kötelező, feltétlenül szükséges, meghatalmazott",
manhandle,"lökdös, rángat, rosszul bánik vele",We already saw an overzealous Fidesz fan manhandling a woman during Orbán’s public speech because she was protesting.
manner,"mód, módszer",
manor,majorság,
manslaughter,emberölés,
manual labor,kézi munka,
manuscripts,kézirat,
market logic,piaci logika,
marvell,csoda,
marvelous,csodálatos,
mate,"társ, cimbora",
mathematician,matematikus,it doesn't matter what the guests wear
matter,"dolog, ügy, jelentősége van",
matter of,"függvénye, kérdése vminek",
maximize,"maximalizál, felfokoz, a legtágabb értelemben értelmez",
mean,"jelent, szándékozik, átlag, középút, átlagos, hitvány, egyszerű, aljas, eszköz, tehetség",
meaning,jelentés,
meaningless,értelmetlen,
meantime,"addig, ezalatt, közben",
meanwhile,"közben, ezalatt, eközben",
mechanic,"szerelő, gépész",
mechanism,"mechanizmus, szerkezet, gépezet",Meh. I'm not impressed so far
mediocre,"középszerű, közepes",
meh,érdeklődés és lelkesedés hiányának kifejezése,
menagerie,állatsereglet,
mention,említ(és),
mercenary,zsoldos,
mere,"puszta, merő, egyedüli, határ",
mesmerizing,"hipnotizáló, magbabonázó",
mess,rendetlenség,IOS 11 is a mess.
meticulous,"aprólékos, aggályoskodó",
mild,"enyhe, szelíd, gyenge",
mimic,"utánoz(ó), mesterkélt, némajátékos",blow his mind
mince pie,húsos pite,
mind-blowing,észbontó,
minder,gondozó,Baby-minder
mindful,"figyelmes, gondos, engedelmes",
mindset,gondolkodásmód,
minion,kegyenc,
mint condition,"újszerű, vadonatúj, teljesen új állapotban lévő",
miserable,"nyomorult, szánalmas, boldogtalan",
misjudged,"félreismert, lebecsült",
misleading,"csalóka, félrevezető",
miss the boat,kihagyni lehetőséget,
missus,asszony,
miswed,szarul házasodik,
mitigate,"enyhít, csökkent, csillapít",
mitigator,csillapító szerkezet,
mitten,egyujjas kesztyű,
moan,"nyög(és), sóhaj, kesereg, panaszkodik",
mock,"utánoz, gúnyol, kinevet, utánzott, gúnyolódás",
modal auxuliary verb,módbeli segédige,
modifier,módosítók,
moist,nyirkos,
mollify,"meglágyít, megengesztel, lecsillapít valakit",
momentum,lendület,
moni(c)ker,"név, nicknév",
moodiness,levertség,
moot,"vitás, vitatott, vita, megvitat",
moreover,"ráadásul, azonfelül",bricks and mortar store (fizikailag létező üzlet)
mortar,"habarcs, mozsár, habarccsal megköt falat, aknavető",
motorway,autópálya,
movement,"mozgalom, mozgás, hadmozdulat, működés, menet",
mow,"lenyír, megnyír, kaszál, szénaboglya",
mugger,ripacs,
mugshot,hivatalos(nak tűnő) fotó,
mule,szamár,
mundane,"földi, evilági, unalmas",
muscle-bound,"izomlázas, merev, túlfejlett izomzatú, kigyúrt",
muscular,izmos,
mushy,"puha, pépszerű",
musing,merengés,
must have,"kell, nagyon vágyott valami, esszenciális",
my goodness,Te jó ég!,
nagging,"zsörtölődő, zsémbelés",
nap,"szieszta, szundikálás, szundít",
napkin,szalvéta,
narrow,"keskeny, szűk, szoros, szűkít, hegyszoros",
nasty,"csúnya, ronda, utálatos, szemérmetlen",
naughty,"rossz, csintalan, pajkos",
near just as good as a ...,"közel ugyanolyan jó, mint a",
neat,"tiszta, csinos, rendes",
negative clause,tagadó tagmondat,
negative pronoun,"tagadó névmás (nothing, nobody)",
negative sentence,tagadó mondat,
negative statement,tagadó állítás,
negatives,tagadás,
neglect,"elhanyagol(ás), mellőz(és)",
neglected,elhanyagolt,
negligence,"mulasztás, elhanyagolás",
negotiate,"tárgyal, forgalomba hoz, elintéz",
negotiation,"tárgyalás, alkudozás, forgalomba hozás",
neighborhood,"szomszédság, szomszédi viszony",
neighboring,szomszédos,
never mind,"mindegy, semmi baj, nem fontos, ne törődj vele!",
"never, ever",sohasem,
newly dead,frissen elhunyt,
next door,"szomszédos, közeli",
nice to have,"jó, ha van",
nifty,csinos,something that requires or involves little or no mental effort
no holds barred,őszinte,
no offense,Ne vedd sértésnek!,
no-brainer,gondolkodás nélkül,
node,"csomópont, bütyök",
nominator,számláló (tört),"it was the barest of welcomes, but it was a welcome nonetheless"
non-specific,általános,
nonchalantly,közömbösen,
nonetheless,ennek ellenére,
nonviolent,nem erőszakos,
nope,"dehogy, nem",
not unless,"nem, hacsak...",
notch,"bemetszés, csorba, rovátka, bevág",
nothingness,"semmi, értéktelenség, sivárság",
notice,"értesítés, észrevesz, megfigyel, közlés, figyelmeztetés",
noticeably,"szemlátomást, szemmel láthatóan",
notion,"fogalom, elképzelés, gondolat",
notorious,"hírhedt, közismert",
notwithstanding,"bár, noha",
noun,főnév,
noun modifier,főnév módosító,
noun phrase,főnévi kifejezés (főnévi állítmány),
nourishment,"táplálék, étel",
novel,"regény, elbeszélés, újszerű, eredeti",
novelty,újdonság,
nucleus,"atommag, sejtmag, középpont, mag, lényeg",
nurture,"gondoz, nevel, táplál",
nuts,"magvak, diófélék",
oar,"evezős, evezőlapát, evez",
oath,eskü,"Meanwhile, Hillary's busy answering questions under oath."
obey,"engedelmeskedik, teljesíti a parancsot, szót fogad",
obfuscate,"összezavar, elsötétít, deformál",
object pronoun,tárgyas névmás,
obligation,"kötelesség, kötelezettség, tartozás, adóslevél",
obligatory,kötelező,
oblige,"kényszerít, kötelez",
obliged,kötelezett,
oblique,"ferde, rézsútos, homályos",
oblivion,feledés,
obscure,"homályos, sötét, bizonytalan",
obsessed,megszállott,
obsession,"megszállottság, rögeszme, zaklatottság",
obsolescence,elavulás (folyamata),planned obsolence
obsolete,elavult,
obstacle,"akadály, gát",
obtain,"szerez, előteremt, hozzájut valamihez",
obvious,"nyilvánvaló, kézenfekvő",
occasion,alkalom,
occasionally,"néha, alkalmanként, ritkán",
occupation,"foglalkozás, állás, megszállás",
occupy,elfoglal,
odd,"páratlan, furcsa, egyenlőtlen",
offender,"bűnöző, szabálysértő",
offer,ajánlat,
omelette,omlett,
ominous,baljóslatú,
omitted,kihagyott,
omnipresent,mindenütt jelenlévő,
omniscent,mindentudó,
on behalf of sg,vkinek a nevében,
on demand,"igény szerint, kérésre",
once in a blue moon,"szökőévente, hébe-hóba",
once in a while,alkalmanként,
one day,"majd egyszer (a jövőben), egy nap",They're will get married one day.
oneself,"magát, maga, magának",
"ontment, ointment",kenőcs,
onward,tovább előre,
onward(s),tovább előre,
oomph,pezsgés,
opaque,"áttetsző, tudatlan, átlátszatlan",
openly,nyíltan,
opine,vél,
opposite of,ellentétben,
oppression,"elnyomás, leigázás",
oppressive,"elnyomó, leigázó, terhes",
oracle,"jóslat, jövendölés, látnok",
ordeal,"megpróbáltatás, kálvária",
order,"utasítás, parancs",
outburst,kitörés,
outcome,"eredmény, kimenetel",
outcry,felháborodás,
outing,"kirándulás, séta, kifecsegés, megmutatkozás, homoszexuális tev.",
outlandish,"furcsa, bizarr, szó szerint idegen, külföldies",
outlet,"kifolyó, lefolyó, levezetés","Fear should be discussed in all its incarnations, such as worry, anxiety, terror, uncertainty of the future, and generalized anxiety – a directionless unease and dread that seeks outlet in whatever is on offer."
outline,"vázlat, körvonal(az)",
outlined above,a fentebb vázolt módon,
outrageous,felháborító,
outright,"nyílt, őszinte, nyíltan, őszintén",
outspokenness,szókimondó,
outweigh,"többet nyom, nehezebb, súlyban felülmúl",
overachieve,túlteljesít,
overall,"átfogó, összefoglaló, mindenek felett",
overcome,"úrrá lesz, erőt vesz",Gaining information control over our environment is crucial in eliminating the sense of helplessness that would otherwise overcome our thinking.
overdraw,"túlkarikíroz, túloz",
overestimate,túlbecsül,
overflowing,túláradó,
overhaul,"nagyjavítás, generál(oz), kivizsgál",
overhead locker,poggyásztartó,
overhear,"kihallgat, véletlenül meghall",
overkill,túlzás,
overlay,"borítás, réteg",
overlook,elnéz,"The UNDP paper can be written off as an attempt to whitewash religious factors, but the role economic and political helplessness play in radicalisation must not be overlooked."
overnight,máról holnapra történő,
overrated,túlértékelt,
oversight,"felügyelet, elnézés",
overstate,eltúloz,The relevance of peer-induced helplessness as opposed to just any type of abuse cannot be overstated.
oversubscribed,"túljelentkezés, felüljegyzett","Daily quotas for Konzum’s shares are oversubscribed, its trade suspended for the day every time it jumps another 20%, only to continue the next day."
overtake,"megelőz, legyőz",
overused,"agyonhasznált, túlhasznált",
overwhelmed,legyőzve,When one’s cognitive faculties are overwhelmed by fear one will succumb to unfreedom.
oyster,osztriga,
pacification,rendteremtés,
pal,"haver, pajtás",
paladin,levente,
palpate,kitapint,
pampering,elkényeztető,
parallel,"párhuzamos(an), párhuzam, párhuzamosan helyez",
parity,"paritás, egyenértékűség, egyenlőség, erőegyensúly",(of a number) the fact of being even or odd.
partially,"részben, elfogultan, részrehajlóan, részlegesen",
participle,melléknévi igenév,
particular,"különös, egyes, speciális, pontos, egyéni, aprólékos, szokatlan, szabados, körülmény, részlet",
passion fruit,maracuja,
passive voice,passzív szerkezet,
past participle,múlt idejű melléknévi igenév,
past tense,múlt idő,
patent,"szabadalom, kiváltságlevél, nyilvánvaló, törvényileg védett, szabadalmaztat",
pathetic,"szánalmas, érzelmes",
patient,"a beteg, türelmes, béketűrő, elnéző",
patrol,"őrjárat, járőr",
paucity,"csekélység, szűkösség",
pavement,járda,
pawn,"zálog, elzálogosít, zálogba tesz",
peace of mind,lelkibéke,
peasant,paraszt,
pebkac,"A probléma a billentyűzet és a szék között van, felhasználói hiba (Problem Exists Between Keyboard And Chair)",
peculiar,"különös, sajátságos",
peggle,NA.,
pen pal,levelezőtárs,
penetrate,"behatol, áthatol, átszúr, átjár",
pepper,"bors(oz), kaliforniai paprika",
per se,"per se, magában, önmagában",it is not these facts per se that are important
perceive,"érzékel, észlel, megért, észrevesz, meglát, megérez, meghall, rájön, felfog, felismer",
perception,észlelés,
perfective aspect,befejezett szemlélet,
perimeter,kerület,
period,"időszak, időtartam, korszak, szakasz, vérzés, korabeli",
peripheral vision,perifériás látás,
permeate,áthat,"In fact, the rich-poor disparity permeates every aspect of students' lives."
perpetrate,"megörökít, állandósít, fenntart, állandóvá tesz",
perpetrator,elkövető,
perpetuate,"állandósít, fenntart",
perplex,"megzavar, meghökkent, zavarba hoz",
perplexed,meghökkent,
persecuted,üldözött,
persecution,üldözés,
persecutor,üldöző,
perseverance,"kitartás, állhatatosság",
persevere,"kitart, erősködik","The saddest part is that despite all of the hassles and law suits, they continue to persevere."
persistency,"megmaradás, kitartás",
personal pronoun,személyes névmás,
persuade,meggyőz,
pertain to,"vonatkozik, tartozik valahová",
pertinacious,"makacs, kitartó",
pervasive,"átható, kiterjedt",
phasing out,fokozatos megszüntetés,
phenomenal,"rendkívüli, tüneményes, érzékelhető",
phlegmatic,"közönyös, egykedvű, nyugodt, kimódolt, hideg",
photosynthesis,fotoszintézis,
phrasal verb,vonzatos ige,
phrase,"kifejezés, fordulat",
picky,válogatós,
pie,"pite (gyümölcs, züldség, puha)",
pierce,"kifúr, átüt, áttör, szúr",
pile,halom,
pincer,harapófogó,
pinpoint,hajszálpontos,
piss off,felidegesít,
pit,"gödör, akna, vermet ás",
pita,"1. pita, 2. rövidítés: Pain In The Ass, valami zavaró tényező",
pitch,"hangmagasság, menetemelkedés, bólintás, dobás, csúcs, hosszdőlés, lezuhan, földbe szúr",
pitchfork,vasvilla,
pitfall,"verem, csapda",
pitiful,"könyörületes, szánalmas",
pity,"kár, szánalom, könyörület, megszán, megsajnál",
plague,"pestis, csapás, dögvész, gyötör",
plagued by,"sújtotta, gyötört vmi által",
plain,"egyszerű, sík, világos, lapos, síkság, alföld, világosan",
planar,"IBM alaplap, síkkal kapcsolatos, sík (felület pl.)",
plane,"sík, fejlődési fok, repülő, szint",
plaster,"vakolat, tapasz",
plasterboard,gipszkarton,
plausible,"valószínű, elhihető, realisztikus",
pleased,(meg)elégedett,
plethora,vérbőség,"So, this year, the vast majority of what I've written about iOS 10 — and what the amazing iMore team has written — is contained in the plethora of help and how-to guides linked throughout the review below."
plight,"helyzet, állapot",
plumber,vízszerelő,
plunge,"fejesugrás, alábukás, alámerít, vízbe ugrik, belemárt",
plural,többesszám(ú),
plywood,"rétegelt lemez, furnér",
pock-marked,"ragyás, himlőhelyes",
pointless,"céltalan, eredménytelen, értelmetlen",
pokey,"szegényes, nyomorúságos",
pole,"rúd, pózna, pálca",
polite invitation,udvarias kérés,
pomegranate,gránátalma,
pope,"pápa, pópa",
populate,"benépesít, lakik valahol",
porch,veranda,
portend,"előjelez, baljós dolgot főleg",
portent,előjel,
positive tag,helyeslő szerk.,
positives,helyeslés,
possess,"bír, birtokol, rendelkezik vmivel, van vmije",
possession,"birtoklás, birtok, megszállottság, tulajdonjog",
possessive,birtokos,
possessive form,birtokos alak,
possessive pronoun,bitrokos névmás,
potency,"erő, befolyás, hatalom",
pour,"önt, tölt, zuhog, zápor, felhőszakadás",
poverty,szegénység,
praise,"dicséret, dicsér, hálaadó istentisztelet, feldicsér",
prankster,"1. önjelölt gengszter, 2. kóros hazudozó",
prawns,garnélarák (mint étel),
precariat,"munkásosztály alatti társadalmi osztály, bármiféle stabilitás és biztonság nélkül",
precarity,bizonytalanság,
precede,"előz, megelőz",
precipitation,"csapadék, üledék",
predation,ragadozás,
predecessor,"előző, előd",
predicament,"helyzet, logikai állítás",
predicate,állítmány,
predominantly,"döntöen, döntő többségében",
predominate,túlsúlyban van,
preemptive,elővásárlási,
prejudice,"előítélet, elfogultság, elfogulttá tesz",
premodifier,előmódosító,
preposition,elöljárószó,
preposition of place,helyhatározói rag,
prepositional phrase,helyhatározói kifejezés,
prerogative,"előjog, kiváltság, kiváltságos",
present simple,egyszerű jelen,
present tense,jelen idő,
presumably,"feltételezhetően, alighanem, valószínűleg",
presume,"feltételez, vél",
presuppose,"feltételez, vélelmez",
pretend,"színlel, tettet, igényel",
pretense,tettetés,"The horrible thing about the Two Minutes Hate was not that one was obliged to act a part, but, on the contrary, that it was impossible to avoid joining in. Within thirty seconds any pretence was always unnecessary. A hideous ecstasy of fear and vindictiveness, a desire to kill, to torture, to smash faces in with a sledge-hammer, seemed to flow through the whole group of people like an electric current, turning one even against one’s will into a grimacing, screaming lunatic. — George Orwell: 1984"
prevail,"érvényesül, uralkodik",
prevalent,"uralkodó, érvényes, túlnyomó",
previous state,előző állapot,
priest,"pap, lelkész",
principle,elv,
probability,valószínűség,
procession,"körmenet, felvonulás",
procrastinate,"késlekedik, halogat",
procurement,"beszerzés, közbeszerzés",
prodigal,"bőkezű, tékozló, pazarló",
prodigy,csoda,
professed,kifejezett,
proficient,"jártas, gyakorlott, tapasztalt",
profligate,"feslett, erkölcstelen, kicsapongó",
profoundly,"mélyen, alapvetően",
programmer,programozó,
proliferate,szaporodik,
proliferation,"osztódás, sejtburjánzás",
prolong,"meghosszabbít, prolongál",
prominent,"kiemelkedő, kitűnő",
prominently,jól látható,
promptness,"gyorsaság, készség",
prone,"elterült, meredek, lefelé fordított, lejtő, fekvő testhelyzet",
pronoun,névmás,
pronounce,"kiejt, kimond, kijelent",pronunciation
proof,"bizonyíték, tanújel, védett, mentes, meg nem kísérthető",
propagate,"terjeszt, szaporít, propagál",
propeller plane,propeller síkja,
proper,"megfelelő, sajátos, helyénvaló, illő",
proper noun,tulajdonnév,
properly,"megfelelően, helyesen, illően",
proportion,"arány(osság), hányad, arányosít, hozzászab valamihez",
proposal,"javaslat, ajánlat, indítvány, leánykérés",
propose,"javasol, ajánl, indítványoz",
proprietary,"szabadalmazott, tulajdoni, tulajdonost illető, tulajdonjog, tulajdonos",
proprietor,"tulajdonos, birtokos",
prosperity,jóllét,
protagonist,"főszereplő, főhős",
protest,"tiltakozik, tiltakozás",
protrude,"kiáll, előrenyúlik, kinyújt",
prove,"bizonyít, igazol, kipróbál",
proven,"igazolt, bevett, bizonyított",
proverb,közmondás,
provide,"ad, biztosít, gondoskodik vmiről",
provisional,ideiglenes,in the interim I'll just keep my fingers crossed'
prudence,"óvatoság, megfontoltság",
prudent,óvatos,
puke,hányás,
pull the trigger,meghúzza a ravaszt,
punch,"ütés ököllel, átüt, átfúr, ököllel üt",
punchy,"ütős, erős",
pundit,"írástudó, tudós",
pungent,orrfacsaróan csípős,
purchasing power,vásárlóerő,
purge,"tisztítás, hashajtás, tisztogatás, kiürítés",
purported,állítólagos,
purpose,"cél, szándék, terv, szándékozik",
purse,"pénztárca, erszény",
pursue,"üldözés, folytat, törekszik, követ, üldöz, űz",
pursuit,"törekvés, üldözés, időtöltés, kergetés, hajszolás, tevékenység, elfoglaltság, működés",
quack,"hápogás, hápog, kuruzsló, elámít",
quagmire,"fertő, ingovány",I think the Supreme Court understands what type of quagmire this would be.
quantifier,"kvantor, mennyiséghatározó",
quarrel,"veszekedés, vita, veszekszik, vitázik",
queef,muff (vulgáris),
querulous,"panaszkodó, nyafogó",
question word,kérdőszó,
question-begging,"1. egyfajta körkörös következtetés, logikai csúsztatás, kérdéses dolgot bizonyítottnak vesz 2. felveti a kérdést","is a type of circular reasoning and an informal fallacy, in which an arguer makes an argument that requires the desired conclusion to be true."
queue,"sorban áll, sorállás, sor",
quid,"bagó, pénz",
quirk,"bemondás, beszólás, csípős megjegyzés, furcsa szokás",
quite,"egészen, teljesen",President Nieto is himself quite unpopular at the moment.
quite nice,meglehetősen szép,
racket,"ütő, teniszütő",
radish,retek,
raid,"rajtaütés, razzia, támadás, csapás",
raider,"támadó, fosztogató, agresszor",
ramble,"sétál, kószál, elkalandozik, bolyongás, kószálás",
ramp up,felfut(ás),"As the radical left ramps up their attacks on Trump, it reveals the true fear that grips them."
rampant,"buja, vad, ágaskodó",
rancid,avas,
rapture,elragadtatás,
rate,"arány, fok, díjszabás, értékel",
rather,"1. inkább, persze hogy! 2. kismértékben",She's been behaving rather strangely
rather far,meglehetősen messze,
raven,"holló, hollófekete, elrabol, fosztogat, zabál",
re-prove,rosszall,
readiness,"készenlét, készség, könnyedség",
real estate,ingatlan,
realm,"birodalom, királyság, állam",
rear,"hátulsó, hátsó, hátul lévő, fenék, hátvéd, hátsó része valaminek, megkönnyebbül",
reassurance,megnyugtatás,
receipt,blokk,
reception,"recepció, vétel, befogadás, felvétel, átvétel, fogadás",
recess,"zug, mélyedés, kiváj",
recession,"gazdasági pangás/hanyatlás, visszavonulás, hátrálás",
reciprocal,kölcsönös,
reciprocal pronoun,kölcsönös névmás,
reciprocity,viszonosság,
reckless,"vakmerő, meggondolatlan",
reckon,"számol, számít, vél, gondol",
reconcile,"összeegyeztet, kibékít, megbékél, lecsillapít",
recount,"újraszámlálás, elbeszél, elmond",
rectification,"korrekció, helyreigazítás",Millions of peasants are robbed of their farms and sent trudging along the roads with no more than they can carry: this is called transfer of population or rectification of frontiers.
recurring,"ismétlődő, visszatérő, kiújuló",
recursive,rekurzív,
redact,"szerkeszt, megrövidít, ajtó alá rendez, cenzúráz",
